id,firstName,lastName,address,city,state,zipcode,birthDate,gender,email,phone,employed,income,yearsEmployed
98ebb045-8bff-489b-b505-5d990e19904d,Aaron,Brown,0240 Pena Rue Suite 635,East David,Washington,07398,1961-05-12,M,bcrawford@hotmail.com,+1-282-618-2648,False,35000.69,4
847db3bb-893c-4382-a6ea-a9fff0a0e435,Jonathan,Burke,522 Jacqueline Mountain Suite 356,North Garyfort,North Dakota,69248,1983-05-28,F,taylor88@yahoo.com,978.026.8186,False,35000.35,4
e3774c60-a1ea-4293-bdae-5c11fcfd6bed,Alex,Shepherd,3578 Samantha Burgs,New Tamarachester,Louisiana,35628,2003-12-13,M,crobertson@gmail.com,(634)707-9030,False,34999.6,5
fb7cffcf-56a2-4261-8afb-94ef024e92c8,Cheryl,Fowler,550 Chavez Mall,Gilbertside,Oregon,30864,1981-01-03,M,johnny53@pena.biz,864-023-7235,False,35001.03,5
7d224cb3-72ab-4d7e-8727-441e6253aa6e,Ann,Gonzales,384 Joseph Hill,East Davidport,North Carolina,97564,1982-07-19,F,christianwhite@phillips.info,317.738.3622x342,False,34999.66,5
b7ea94aa-3d56-447c-a765-5b8bea80e7e6,Jessica,Phillips,90509 White Terrace,Oliverport,North Carolina,99619,1955-06-23,F,laura90@gmail.com,(373)100-0931,False,35000.79,5
6ba0e67a-5682-4722-bcd5-94441fdfadf5,Jacob,Ford,0353 Jonathan Lane Apt. 148,West Nicholas,Alaska,04965,1969-04-14,F,gregorytrevino@buchanan-griffin.com,447-955-3528,False,34997.63,6
257c837a-ed05-4a7c-8357-281056139cf7,Sarah,Garrison,62578 Estrada Road,New Cassandraland,Tennessee,14858,1984-01-11,F,zwilliams@smith-ho.biz,684.160.1355x619,False,35000.37,5
d359be3a-e3e5-48c0-96d5-0093e900c24f,Lindsey,Erickson,5127 Mitchell Alley Apt. 217,Josephland,Kentucky,67844,1982-07-20,F,patricia43@davis.com,594-377-7382x66289,False,34998.47,6
2e6021d7-fb8a-4ba7-acab-97bb272e4513,Amy,Aguilar,31726 Vincent Spring,Stephenland,California,26136,1974-11-03,M,lee96@miller.info,649.663.0438,False,35000.68,2
a3dc73e4-c910-4f80-a6ee-50678df0e6c5,Lindsay,Jones,9054 Davis Locks Apt. 426,New Michelle,Oregon,49918,2004-01-28,F,david00@oneill.com,7196434129,False,35000.21,5
